Time,Speed,Altitude
0,7516,60
0.362068966,7544,60.2
0.724137931,7593,60.7
1.086206897,7625,61
1.448275862,7663,61.4
1.810344828,7789,61.8
2.172413793,7746,62.2
2.534482759,7784,62.5
2.896551724,7818,62.9
3.25862069,7863,63.3
3.620689655,7989,63.7
3.982758621,7941,64.1
4.344827586,7985,64.5
4.706896552,8025,64.9
5.068965517,8068,65.3
5.431034483,8100,65.6
5.793103448,8141,66
6.155172414,8186,66.4
6.517241379,8234,66.9
6.879310345,8262,67.2
7.24137931,8286,67.6
7.603448276,8283,68
7.965517241,8288,68.4
8.327586207,8273,68.9
8.689655172,8267,69.3
9.051724138,8261,69.7
9.413793103,8255,70
9.775862069,8249,70.4
10.13793103,8244,70.9
10.5,8239,71.3
10.86206897,8232,71.7
11.22413793,8226,72.1
11.5862069,8221,72.4
11.94827586,8215,72.8
12.31034483,8208,73.3
12.67241379,8203,73.6
13.03448276,8195,74.1
13.39655172,8197,74.4
13.75862069,8201,74.9
14.12068966,8206,75.1
14.48275862,8208,75.5
14.84482759,8202,75.9
15.20689655,8195,76.4
15.56896552,8194,76.7
15.93103448,8200,77
16.29310345,8183,77.4
16.65517241,8154,77.8
17.01724138,8172,78.1
17.37931034,8183,78.5
17.74137931,8138,78.9
18.10344828,8139,79.3
18.46551724,8165,79.6
18.82758621,8125,79.9
19.18965517,8132,80.3
19.55172414,8158,80.7
19.9137931,8113,81.1
20.27586207,8102,81.4
20.63793103,8138,81.8
21,8112,82.1
